description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,profileImageUrl
"NYTimes bestselling author & host of America's #1 cable morning news program, his #HappyCookbook now available to order here: https://t.co/qcfINi4zdS",6286,249970,2761,339,https://t.co/qcfINi4zdS,Steve Doocy,2009-02-26T20:13:34Z,FALSE,TRUE,SteveDoocy,Big town on Hudson River,NA,22055109,1823,FALSE,http://pbs.twimg.com/profile_images/610581824/DSC_0728_2_normal.JPG
"Mark Green is a physician, businessman, and combat veteran representing Tennessee’s 7th District in Congress.",716,15211,268,829,https://t.co/tBr76gfx9G,Rep. Mark Green,2019-01-02T14:53:54Z,FALSE,TRUE,RepMarkGreen,,NA,1080477288955826176,211,FALSE,http://pbs.twimg.com/profile_images/1080478006169268224/aB7vw1E2_normal.jpg
The Secret Service is mandated by Congress to carry out an integrated mission of protection and criminal investigations.,3173,780318,4,48,http://t.co/bDT6iI7IFl,U.S. Secret Service,2010-02-19T20:07:37Z,FALSE,TRUE,SecretService,,NA,115749048,4969,FALSE,http://pbs.twimg.com/profile_images/773160382835765249/J6J-jLYB_normal.jpg
The official profile for Melania Trump,1389,1084478,1,54,NA,MELANIA TRUMP,2010-01-26T01:48:43Z,FALSE,TRUE,MELANIATRUMP,New York City,NA,108471631,3432,FALSE,http://pbs.twimg.com/profile_images/726781589192069126/zg456hZZ_normal.jpg
"Wife, mother, sister, daughter. Advisor to POTUS on job creation + economic empowerment, workforce development & entrepreneurship. Personal Pg. Views are my own",15732,6751381,2018,1400,NA,Ivanka Trump,2009-06-30T22:32:03Z,FALSE,TRUE,IvankaTrump,"Washington, DC",NA,52544275,21270,FALSE,http://pbs.twimg.com/profile_images/1054179226100908032/i5ZXfFdE_normal.jpg
"TV Commentator, Campaign Manager Donald J. Trump for President 2016, 2X NYTimes Best Selling Author. Order Trump’s Enemies today!",2385,409930,319,51,https://t.co/DKEEYIPuND,Corey R. Lewandowski,2015-11-05T18:19:17Z,FALSE,TRUE,CLewandowski_,"Washington, DC",NA,4121225056,2317,FALSE,http://pbs.twimg.com/profile_images/1063772245502427136/vFUuhztK_normal.jpg
"Americans for Tax Reform: Advocating for lower taxes, a simpler tax code, and limited government since 1985. Sponsors of the Taxpayer Protection Pledge.",29312,27429,106,8091,http://t.co/9DutT5LnKa,ATR,2008-06-10T18:09:23Z,FALSE,TRUE,taxreformer,"Washington, D.C.",NA,15075753,914,FALSE,http://pbs.twimg.com/profile_images/468959790/logo_2_normal.jpg
"Moseying the halls of Congress for @Newsweek. Alum: @WUFTNews, @USATODAY, @UFJSchool 🐊 FL  native. r.touchberry@newsweek.com, r.touchberry@protonmail.com",4208,996,5929,1448,https://t.co/Xux4Tag8y3,Ramsey Touchberry,2013-07-21T17:17:08Z,FALSE,TRUE,ramsberry1,"Washington, DC",NA,1610976638,16,FALSE,http://pbs.twimg.com/profile_images/1067503425951289344/TlF9YDrd_normal.jpg
"Chairman, Conservative Partnership Institute (@CPInst) https://t.co/vDx1qm53J9. Father of 4.",6200,216846,156,7741,https://t.co/C1hRn43CYZ,Jim DeMint,2007-10-17T22:26:53Z,FALSE,TRUE,JimDeMint,,NA,9508922,5483,FALSE,http://pbs.twimg.com/profile_images/889798826080555008/FlT3y_JP_normal.jpg
"Formerly a trial attorney, Jarrett is a legal and political analyst for Fox News Channel. Author of The Russia Hoax.",713,383336,19,112,https://t.co/0TMSENuEeu,Gregg Jarrett,2009-02-22T01:59:05Z,FALSE,TRUE,GreggJarrett,New York,NA,21536398,1497,FALSE,http://pbs.twimg.com/profile_images/1024332491967160321/AZAsCMuO_normal.jpg
"Emmy Award Winning TV & WABC Radio Host/Political Editor, Special Correspondent @InsideEdition, #Military Supporter, #NYT Bestselling Author of QUIET HERO",14238,74122,22880,40516,https://t.co/GcwF2ZdzJR,Rita Cosby,2010-05-10T16:30:09Z,FALSE,TRUE,RitaCosby,WABC RADIO,NA,142339174,473,FALSE,http://pbs.twimg.com/profile_images/569365553551122432/kZzxsmAs_normal.jpeg
@nbcnews correspondent // @latimes alum // mike dot memoli at nbcuni dot com,52224,45670,2108,1975,NA,Mike Memoli,2008-08-31T22:50:48Z,FALSE,TRUE,mikememoli,"Washington, DC",NA,16072058,2007,FALSE,http://pbs.twimg.com/profile_images/1008934449483014144/nROsEBnE_normal.jpg
"@abc reporter/producer on Capitol Hill. @uwmadison grad, @nyknicks fan. benjamin.r.siegel@abc.com // bnsiegel@protonmail.com // DM for Signal",18420,8472,2686,3328,https://t.co/SO3M0qceOH,Ben Siegel,2008-12-04T23:40:24Z,FALSE,TRUE,benyc,"Washington, DC",NA,17883494,341,FALSE,http://pbs.twimg.com/profile_images/732320713147863046/9TP8E4gf_normal.jpg
"@FoxNews Contributor. @IWV Senior Fellow. Former Capitol Hill and campaign flack, and VP of a polling firm.",20665,209010,23393,2317,NA,Lisa Boothe,2010-03-09T23:04:50Z,FALSE,TRUE,LisaMarieBoothe,"New York, NY",NA,121574367,1011,FALSE,http://pbs.twimg.com/profile_images/1125882906004664320/pyYPH5Ou_normal.jpg
"I'm a lifelong, devoted North Dakotan and a tireless advocate for making North Dakota a better place to live and work.",478,8172,229,221,https://t.co/bFYBcIEV4G,Congressman Kelly Armstrong,2019-01-02T17:27:12Z,FALSE,TRUE,RepArmstrongND,"Dickinson, ND and Washington, DC",NA,1080515866255593472,154,FALSE,http://pbs.twimg.com/profile_images/1080879174972264449/PE5-7Tn1_normal.jpg
"@GOP Co-chair | Husband, father of 3 | @TexasLonghorns @dallascowboys @dallasstars @texasrangers @dallasmavs fan .@realDonaldTrump",1288,13311,176,196,https://t.co/J8BrqT1dSL,Tommy Hicks,2018-12-14T14:38:32Z,FALSE,TRUE,TommyHicksGOP,,NA,1073588049588772864,57,FALSE,http://pbs.twimg.com/profile_images/1150533450526601223/Jb1XOT-i_normal.jpg
U.S. Congressman for Texas' 6th District. Member of @HouseForeign & @EdLaborCmte. Proud sixth generation resident of Tarrant County.,305,1673,111,346,https://t.co/NzGiQ66v6o,Ron Wright,2019-01-03T15:54:32Z,FALSE,TRUE,RepRonWright,,NA,1080854935535800320,116,FALSE,http://pbs.twimg.com/profile_images/1081206587426045958/MkX5U9E6_normal.jpg
Your nation. Your news. #OANN,103435,373660,2507,78,http://t.co/pWqf41e3no,One America News,2013-02-22T22:24:39Z,FALSE,TRUE,OANN,,NA,1209936918,2490,FALSE,http://pbs.twimg.com/profile_images/579744264751448064/DH0xDrdO_normal.jpg
"Husband, father, cancer survivor, Congressman from the Great State of Texas. Freedom works. https://t.co/1JZa4Av6WU",23874,19933,14967,704,NA,Chip Roy,2013-03-10T18:36:29Z,FALSE,TRUE,chiproytx,"Austin, Texas",NA,1257667158,432,FALSE,http://pbs.twimg.com/profile_images/1067414842867367937/mhwAN0Mg_normal.jpg
Campaign Manager for @realdonaldtrump 2020 Presidential Campaign. Proud to work for America’s best POTUS.,3936,333557,838,489,https://t.co/tCuRLgA6VU,Brad Parscale,2008-11-27T18:47:32Z,FALSE,TRUE,parscale,"Washington, DC",NA,17685258,2220,FALSE,http://pbs.twimg.com/profile_images/1056687491422543873/ofDprGIw_normal.jpg
"2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x2, lawyer, advocate, fan of walks in the woods & standing up for our democracy.",11034,24979129,1116,800,https://t.co/99DVW9q1yt,Hillary Clinton,2013-04-09T18:04:35Z,FALSE,TRUE,HillaryClinton,"New York, NY",NA,1339835893,42170,FALSE,http://pbs.twimg.com/profile_images/1051914952192057344/xwZDe7zt_normal.jpg
Proudly serving NE FL District 4.  Former Sheriff focused on keeping communities safe & protecting your rights. @HouseAppropsGOP,1062,5300,145,471,https://t.co/wj7pQPamPu,Rep. John Rutherford,2017-02-07T14:42:24Z,FALSE,TRUE,RepRutherfordFL,"Washington, DC",NA,828977216595849216,276,FALSE,http://pbs.twimg.com/profile_images/999013227936628736/kPDy7RMJ_normal.jpg
"Columnist on biz, economy, public policy, tech for The Guardian, The Hill, Philly Inquirer, Forbes, Entrepreneur, Inc. CPA and small biz owner.",125667,75698,6324,8689,https://t.co/ZXTtQtocG0,Gene Marks,2008-09-01T14:33:02Z,FALSE,TRUE,genemarks,"Philadelphia, PA",NA,16082893,1872,FALSE,http://pbs.twimg.com/profile_images/748248529307574272/D_a7an5J_normal.jpg
Official account of the U.S. Ambassador to India. Follow @USAndIndia for updates from our embassy.,4814,158425,1940,595,https://t.co/6b0GUevBg1,Ken Juster,2015-01-02T03:01:26Z,FALSE,TRUE,USAmbIndia,"New Delhi, India",NA,2955928989,339,FALSE,http://pbs.twimg.com/profile_images/931016285139415041/gnns-WTO_normal.jpg
House Radio-Television Correspondents' Gallery,5530,4808,0,2,http://t.co/SdLdtXv3Bg,HouseRadioTV,2011-10-17T16:11:02Z,FALSE,TRUE,HouseRadioTV,,NA,392810019,148,FALSE,http://pbs.twimg.com/profile_images/423497181958402049/JDMhYbqV_normal.jpeg
Tweets from the R side of the Senate Floor. Operated by Senate Republican Cloakroom Staff.,5649,29029,28,85,http://t.co/qUmPN6TS1d,Senate Cloakroom,2011-09-13T14:20:34Z,FALSE,TRUE,SenateCloakroom,The Capitol,NA,372837125,536,FALSE,http://pbs.twimg.com/profile_images/1541118549/cloakroom_normal.jpg
"National Review Institute Fellow, National Review Senior Writer, Time columnist, Iraq vet, married to @NancyAFrench.",22432,181274,22804,822,https://t.co/n2yQPMWSZ7,David French,2011-01-19T04:58:15Z,FALSE,TRUE,DavidAFrench,"Franklin, TN",NA,240107748,2750,FALSE,http://pbs.twimg.com/profile_images/1132440675486699525/z8cMqHdY_normal.jpg
"Dad to 5 angels,  husband to @mercedesschlapp as seen on the screen, kansas, American Conservative Union Chair, @cpac, Go Irish, life is better on the farm",44766,125902,46936,1604,https://t.co/kWqe1A7nvN,Matt Schlapp,2010-04-30T17:20:18Z,FALSE,TRUE,mschlapp,Alexandria VA,NA,138809881,1221,FALSE,http://pbs.twimg.com/profile_images/592824913028849664/GtJwKwNr_normal.jpg
"Sr. Political Analyst, Fox News Channel. Arguments welcome. Name callers & verbal abusers blocked.",19872,1046309,717,729,NA,Brit Hume,2010-02-07T02:55:13Z,FALSE,TRUE,brithume,"Washington, D.C.",NA,112047805,6342,FALSE,http://pbs.twimg.com/profile_images/1107802138137247745/LmtJZtmY_normal.jpg
"Judge Pirro is a highly respected District Attorney, Judge, author & renowned champion of the underdog. She hosts the Fox News show, Justice with Judge Jeanine.",16536,1595146,197,454,https://t.co/WdMngtknbR,Jeanine Pirro,2009-04-07T14:27:06Z,FALSE,TRUE,JudgeJeanine,"New York, NY",NA,29458079,4825,FALSE,http://pbs.twimg.com/profile_images/850023968484368386/jBcIv7W1_normal.jpg
Mom. Patriot. Catholic. Counselor. Survivor.,8080,2824486,4361,784,NA,Kellyanne Conway,2012-01-23T04:14:28Z,FALSE,TRUE,KellyannePolls,USA🇺🇸,NA,471672239,8637,FALSE,http://pbs.twimg.com/profile_images/1063430243107696640/GC-mkfPk_normal.jpg
Author.,44444,2158211,22,1096,https://t.co/w8Jbizj7j1,Ann Coulter,2010-09-28T14:04:51Z,FALSE,TRUE,AnnCoulter,Los Angeles/NYC,NA,196168350,13297,FALSE,http://pbs.twimg.com/profile_images/598204767739981825/iD1DZBbS_normal.jpg
Fox Nation Host. Faith. Family. Freedom. Final Thoughts. https://t.co/DR35PgiNu7,14312,1389433,9676,1053,https://t.co/1pXmBlQ3NO,Tomi Lahren,2012-01-19T19:19:11Z,FALSE,TRUE,TomiLahren,"Los Angeles, CA",NA,468646961,5340,FALSE,http://pbs.twimg.com/profile_images/1114649178871754752/-Wey53gU_normal.jpg
Host of The Dan Bongino Show. Fox News Contributor.,52097,1134964,54224,661,https://t.co/eNhMvTGdKP,Dan Bongino,2011-01-01T17:50:03Z,FALSE,TRUE,dbongino,"Florida, USA",NA,232901331,4191,FALSE,http://pbs.twimg.com/profile_images/1085298427662077952/G7pyO36A_normal.jpg
"President, Judicial Watch. (These are my personal views only!)  Author, New York Times best seller Clean House. 
https://t.co/midr73gi0A",27770,613969,472,3033,http://t.co/ebnjxMYdbL,Tom Fitton,2008-12-20T14:32:44Z,FALSE,TRUE,TomFitton,"Washington, DC",NA,18266688,2516,FALSE,http://pbs.twimg.com/profile_images/964235516794171392/ktAX5u2i_normal.jpg
"Florida's 46th Governor. Iraq Veteran. Native Floridian. Fighting for Good Jobs, Better Schools, Clean Water, and Safe Communities.",2306,161620,17,1119,https://t.co/KFVBkdlAPT,Ron DeSantis,2012-02-09T06:41:04Z,FALSE,TRUE,RonDeSantisFL,Florida,NA,487297085,660,FALSE,http://pbs.twimg.com/profile_images/1057745166889615376/w8zoIcpU_normal.jpg
Florida man proudly serving the First District in Congress. “He’s a machine...handsome and going places” says @realDonaldTrump #OpenGaetz,10276,157290,9382,2338,https://t.co/QiudvzVsVL,Matt Gaetz,2009-07-20T20:24:48Z,FALSE,TRUE,mattgaetz,"Fort Walton Beach, FL",NA,58579942,1214,FALSE,http://pbs.twimg.com/profile_images/1136376209216950272/X320aRxc_normal.jpg
"Proud rodeo mom, soccer mom, baseball mom, hockey mom, constitutional conservative. Honored to serve the people of Wyoming in Congress.",1919,102530,35,596,https://t.co/DEYQQUfY21,Liz Cheney,2009-12-21T21:06:44Z,FALSE,TRUE,Liz_Cheney,Wyoming,NA,98471035,1440,FALSE,http://pbs.twimg.com/profile_images/796406688806899712/0jB6O2Bo_normal.jpg
Proudly representing the people of the Upstate in the US House of Representatives (SC-04).,101,1582,38,85,NA,Congressman William Timmons,2018-12-31T16:06:47Z,FALSE,TRUE,RepTimmons,,NA,1079770852302958592,92,FALSE,http://pbs.twimg.com/profile_images/1080620434545168385/C08jfIyS_normal.jpg
,5636,64080,5504,174,NA,Arthur Schwartz,2009-02-18T00:09:13Z,FALSE,TRUE,ArthurSchwartz,"Washington, DC",NA,21149655,528,FALSE,http://pbs.twimg.com/profile_images/1068507063364567042/td_R9AWw_normal.jpg
Official Twitter account for U.S. Senator David Perdue of Georgia.,3940,66402,533,1012,https://t.co/I3Xla8NlsK,David Perdue,2014-11-05T20:58:02Z,FALSE,TRUE,sendavidperdue,Georgia,NA,2863210809,1363,FALSE,http://pbs.twimg.com/profile_images/821843329008680967/zqpECZrD_normal.jpg
"Devoted husband, father of 6, conservative, pro-growth policies, strong defense, cleaning up D.C., Candidate for Congress #PA17. #jobs #tcot",1659,2323,10,1010,https://t.co/tWqslKwJqI,Keith Rothfus,2009-11-02T12:54:52Z,FALSE,TRUE,RothfusForPA,"Sewickley, PA",NA,86936187,158,FALSE,http://pbs.twimg.com/profile_images/1002636446623305739/rIchD0dR_normal.jpg
"Nat'l Correspondent for @FoxNews. Proud husband/father; son of 2X cancer survivor; lover of God, family, food,& football. @FoxNewsMMR @BYU alum, & a Mormon.",4969,6425,1831,2186,https://t.co/RLBGsA4MP9,Garrett Tenney,2011-08-07T19:12:55Z,FALSE,TRUE,Garrett_FoxNews,"Washington, DC",NA,350426737,134,FALSE,http://pbs.twimg.com/profile_images/732287234385317889/AZ8B1Pn0_normal.jpg
Senior Editor for Technology and Events @Nextgov/@GovExec. Fmr editor of @FederalTimes and @FifthDomain. Life-long #nerd and proud of it. #cyber #govcon #fedIT,3735,2160,1205,1125,https://t.co/M260iaGpN1,Aaron Boyd,2014-10-03T00:05:43Z,FALSE,TRUE,Federal_IT,"Washington, D.C.",NA,2801107696,188,FALSE,http://pbs.twimg.com/profile_images/765320407373144069/CqxDcpcD_normal.jpg
Welcome to the official @DocuSign Twitter. Be in the know for the latest in DocuSign's Agreement Cloud & more. Need help? Tweet @AskDocuSign,46321,164004,13014,27965,https://t.co/MJoDxhuz4t,DocuSign,2009-01-12T18:17:15Z,FALSE,TRUE,DocuSign,"San Francisco, CA",NA,18909248,1840,FALSE,http://pbs.twimg.com/profile_images/1138492490732859393/mf5hT9nL_normal.png
"We represent the global #software industry, focusing on #data, #trade, #IP & emerging #tech. Led by @victoriaespinel. Explore software’s impact: @BSA_Foundation",11482,6142,1223,2677,https://t.co/lqC52BzkAM,BSA | The Software Alliance,2010-04-22T14:21:03Z,FALSE,TRUE,BSAnews,,NA,135904937,283,FALSE,http://pbs.twimg.com/profile_images/1059873186882486277/cGC4n-9O_normal.jpg
Wake up every day with an attitude of gratitude❗️🇺🇸,3188,16026,2496,12704,NA,"Jeb Bush, Jr.",2009-06-18T17:21:06Z,FALSE,TRUE,JebBushJr,,NA,48419788,192,FALSE,http://pbs.twimg.com/profile_images/825868164428861440/RYjxNFSv_normal.jpg
The official Twitter feed for United States Senator Lindsey Graham.,9821,985811,69,2165,https://t.co/bM2rOxm6ub,Lindsey Graham,2011-12-09T22:21:03Z,FALSE,TRUE,LindseyGrahamSC,South Carolina,NA,432895323,5472,FALSE,http://pbs.twimg.com/profile_images/1045473448783466496/XnZoIj-Q_normal.jpg
My official House office Twitter account. I work for the people of TN-03.,2681,16232,230,704,http://t.co/BanS9JzDxx,Chuck Fleischmann,2011-01-07T15:46:29Z,FALSE,TRUE,RepChuck,"Washington, D.C./TN-03",NA,235190657,784,FALSE,http://pbs.twimg.com/profile_images/818947796787142656/mH-TXPye_normal.jpg
,212,273,199,7,NA,Dr. Gene Burton College & Career Academy,2018-07-31T13:52:19Z,FALSE,FALSE,GBCCA_RISD,"Rockwall, TX",NA,1024291671469637632,1,FALSE,http://pbs.twimg.com/profile_images/1024301670992367617/40NdcDEM_normal.jpg
"Educator, mom, wife of @VP Pence. Passionate about art therapy, military families and Sister Cities International. Tweets may be archived: https://t.co/eVVzoBb3Zr",1498,464108,3,3,https://t.co/IxLjEB2zlE,Second Lady Karen Pence,2017-01-19T17:02:26Z,FALSE,TRUE,SecondLady,"Washington, DC",NA,822127086194348032,1230,FALSE,http://pbs.twimg.com/profile_images/1115635567407058944/UNzBajkh_normal.jpg
Job: Marketing in the Jewish Community. Side Job: Commentary @MomentWeekly and Kol Mevaser. Causes: Fair Justice and @OJPAC. Created the #EconomicStressIndex.,52610,21012,228,93,https://t.co/0OXONCMedt,Yossi Gestetner,2009-08-06T20:01:50Z,FALSE,TRUE,YossiGestetner,New York,NA,63525003,351,FALSE,http://pbs.twimg.com/profile_images/1003800118829690880/uIHip5jj_normal.jpg
"Founder & President of @TPUSA Proud capitalist. Best Selling Author. We are all sinners, saved by Jesus. Opinions here are my own.",44238,1203197,26987,247873,https://t.co/ipaELfqIAB,Charlie Kirk,2011-05-04T13:37:25Z,FALSE,TRUE,charliekirk11,"Chicago, Illinois",NA,292929271,4803,FALSE,http://pbs.twimg.com/profile_images/1095532385926631424/ODX2AmEZ_normal.jpg
"Our priority mission
is keeping terrorists + their weapons out of the U.S., securing the border,
facilitating trade + travel while enforcing hundreds of laws.",1811,6734,634,323,http://t.co/rVzXuVNg4Q,CBP Central Texas,2013-03-26T19:31:03Z,FALSE,TRUE,CBPCentralTX,,NA,1305398258,125,FALSE,http://pbs.twimg.com/profile_images/443122910115270656/gYO4Z7w3_normal.png
"Our story of supporting citizens & first responders before, during, and after emergencies. For emergencies, call your local fire/EMS/police or 9-1-1.",16545,751206,3316,709,https://t.co/pJoesev0fm,FEMA,2008-10-09T16:54:20Z,FALSE,TRUE,fema,United States,NA,16669075,10925,FALSE,http://pbs.twimg.com/profile_images/875380682637234176/Fw_Rx4T-_normal.jpg
"@SpeakerRyan Member Services, @SpeakerBoehner Alum, @FurmanU Paladin, Cincinnatian",2566,732,1870,1292,https://t.co/gaHWFqcRMr,Tommy Andrews,2010-12-31T20:12:02Z,FALSE,FALSE,TomAndrews34,"Washington, D.C.",NA,232649691,13,FALSE,http://pbs.twimg.com/profile_images/901296229979746304/hlBBpsjE_normal.jpg
"News anchor, mom & wife, slurpee drinker, best selling author.  Not a member of any party; I consider every issue on a case by case basis.",18085,208382,13800,1553,https://t.co/XbmYC8NnZR,Melissa Francis,2009-04-07T18:59:51Z,FALSE,TRUE,MelissaAFrancis,"New York City, baby!",NA,29515247,1124,FALSE,http://pbs.twimg.com/profile_images/3257094788/55b12b85b07fca89226ab16fc395cda5_normal.jpeg
"“Trish Regan Primetime” 8pm & 11pm FOXBusiness. #LiveFreeorDie Native, Wife, Mom of 3, Tri-lingual speaker, Capitalist, and Lyric Soprano",12578,581329,21604,1273,https://t.co/DnNGVKxVug,Trish Regan,2010-04-28T21:21:09Z,FALSE,TRUE,trish_regan,NYC,NA,138182116,2295,FALSE,http://pbs.twimg.com/profile_images/1042520897951879173/2ARWMBrb_normal.jpg
"Fox Nation is a members-only destination featuring daily live shows, must-see documentaries, events and exclusive content.",50,422652,9,490,https://t.co/rNmoxNzHmP,Fox Nation,2009-05-04T21:25:22Z,FALSE,TRUE,foxnation,,NA,37764422,4222,FALSE,http://pbs.twimg.com/profile_images/1016322722144702464/WjMYazHz_normal.jpg
"Official Twitter Page of the FBI. Do not report tips here. Submit tips on terrorism or federal crimes at https://t.co/bvLnLbg98y. For emergencies, dial 911.",12175,2507244,2,2153,http://t.co/AuHlihmmIW,FBI,2008-11-25T20:13:53Z,FALSE,TRUE,FBI,"Washington, DC",NA,17629860,14997,FALSE,http://pbs.twimg.com/profile_images/1079780911418408961/YXYAye0S_normal.jpg
CBP is charged with securing our nation's borders & facilitating lawful international travel & trade.,8934,250191,435,370,https://t.co/Pzt2N78P5R,CBP,2008-10-06T12:45:44Z,FALSE,TRUE,CBP,"Washington, D.C.",NA,16613128,2998,FALSE,http://pbs.twimg.com/profile_images/966704374989901824/0Dn464ST_normal.jpg
